store,raw_product_type,product_count,canonical_category
kotsovolos,Προστατευτικά Διαχωριστικά Γραφείων,3,
kotsovolos,Πλυντικές,3,
kotsovolos,Ατμομάγειρες,3,
kotsovolos,Σετ Μαγειρικών Σκευών,3,
kotsovolos,Κονσόλες Nintendo Switch,3,consoles
kotsovolos,Games PC,3,
kotsovolos,Εξοπλισμός,3,
kotsovolos,Αξεσουάρ Τηλεκατευθυνόμενων,3,
kotsovolos,Συσκευασίες Δώρου & Gift Cards,3,
kotsovolos,Καθαρισμός & Περιποίηση,3,
kotsovolos,Μόνιμη Αποτρίχωση,3,
kotsovolos,Συσκευές Μασάζ,3,
kotsovolos,Ενδοεπικοινωνία,3,
kotsovolos,Πιεσόμετρα,3,
kotsovolos,Ψησταριές Κάρβουνου,3,
kotsovolos,Δράπανα,3,
kotsovolos,Σέγες - Πριόνια - Τροχοί,3,
kotsovolos,Mobile Broadband,3,
kotsovolos,Συνδρομητική Τηλεόραση,3,
kotsovolos,Smart Glasses,2,
kotsovolos,Bluetooth Headsets,2,headphones
kotsovolos,POS,2,
kotsovolos,Οθόνες Προβολής,2,
kotsovolos,Ηχεία Αυτοκινήτου,2,
kotsovolos,Ψυγεία Βιτρίνες,2,refrigerators
kotsovolos,Θερμάστρες Πετρελαίου,2,
kotsovolos,Ηλεκτρικά Τζάκια,2,
kotsovolos,Μπαταρίες Laptop,2,
kotsovolos,Πρέσες,2,
kotsovolos,Φροντίδα Υφασμάτων,2,
kotsovolos,Αρτοπαρασκευαστές,2,
kotsovolos,Μπρίκια,2,
kotsovolos,Games Xbox One,2,
kotsovolos,Φορητές Gaming Κονσόλες,2,consoles
kotsovolos,Ηoverboards,2,
kotsovolos,Μπιμπερό & Αξεσουάρ,2,
kotsovolos,Προϊόντα Ασφαλείας,2,
kotsovolos,Αξεσουάρ Ταξιδίου,2,
kotsovolos,Πλυντήρια - Στεγνωτήρια,2,washing_machines
kotsovolos,Εγκαταστάση Λογισμικού & Λειτουργικού Συστήματος,2,
kotsovolos,Εγκατάσταση Γονικού Ελέγχου,2,
kotsovolos,Οθόνες Multimedia,1,monitors
kotsovolos,Ανταλλακτικά Τηλεοράσεων,1,
kotsovolos,Όλοι οι φούρνοι μικροκυμάτων,1,ovens
kotsovolos,Panels,1,
kotsovolos,Όλοι οι ηλιακοί θερμοσίφωνες,1,
kotsovolos,Όλοι οι θερμοστάτες,1,
kotsovolos,Τροφοδοτικά - PSU,1,
kotsovolos,Κουτιά Υπολογιστή,1,
kotsovolos,Κάρτες Γραφικών - GPU,1,
kotsovolos,Εσωτερικοί HDD,1,
kotsovolos,Σιδερωτήρια,1,
kotsovolos,Playstation VR2,1,
kotsovolos,Κονσόλες Xbox Series S | X,1,consoles
kotsovolos,Virtual Reality Headsets,1,
kotsovolos,Αξεσουάρ Mobile Gaming,1,
kotsovolos,Βόλτα Μωρού,1,
kotsovolos,Διάδρομοι Γυμναστικής,1,
kotsovolos,Ποδήλατα Γυμναστικής,1,
kotsovolos,Χημικά & Καθαριστικά Πλυστικών,1,
kotsovolos,Κατσαβίδια,1,
kotsovolos,Πολυεργαλεία,1,
kotsovolos,Εξαρτήματα,1,
kotsovolos,Κιάλια,1,
kotsovolos,Home Cinema,1,speakers
kotsovolos,Ψησταριές,1,
kotsovolos,Μεταφορά Δεδομένων Smartphone,1,
kotsovolos,Ενεργοποίηση Λογαριασμού Smartphone,1,
kotsovolos,Wearables,1,smartwatches
kotsovolos,Bronze,1,
kotsovolos,Silver,1,
kotsovolos,Gold,1,
kotsovolos,Wi-Fi Internet Παντού,1,
kotsovolos,Βελτιστοποίηση Xρωμάτων Συσκευών - Calibration,1,
kotsovolos,Λοιπές Συσκευές,1,
stephanis,Action Figures,1979,
stephanis,Mobile Phone Cases,1770,
stephanis,Playstation,1036,
stephanis,Bluetooth Headsets,662,headphones
stephanis,Activity & Building Toys,581,
stephanis,Smartphones,514,smartphones
stephanis,Nintendo,475,
stephanis,Drinkware,447,
stephanis,Inks,376,
stephanis,Laptops,375,laptops
stephanis,LED,370,
stephanis,Film & Glass Protectors,358,
stephanis,Portable Speakers,349,speakers
stephanis,Earphones with Microphone,325,headphones
stephanis,Gaming Headphones/Earphones,314,headphones
stephanis,Smartwatches,307,smartwatches
stephanis,Joysticks/Gamepads,286,
stephanis,Headphones,286,headphones
stephanis,Xbox,286,
stephanis,Television,283,tvs
stephanis,Gaming Keyboards,270,
stephanis,Table Lights,269,
stephanis,USB Chargers,266,
stephanis,PC Monitors,253,monitors
stephanis,Audio & Video Cables,237,
stephanis,Gaming Mice,225,
stephanis,USB Cables,219,
stephanis,Power Banks,188,
stephanis,Swim Suits,182,
stephanis,Patchcord Cables,177,
stephanis,Mobile Phone Cables,176,
stephanis,Laptop Cases,170,
stephanis,Special Collectibles,169,
stephanis,Bauble Ornaments,165,
